高校名称,院校档次,省份,城市,软科排名,国际处网址,理工学院数,理工学院网址,更新说明
江西师范大学,软科top150,江西省,南昌市,126,https://international.jxnu.edu.cn/,9,心理学院: https://psych.jxnu.edu.cn/; 数学与统计学院: https://sxxy.jxnu.edu.cn/; 物理学院: https://ldxy.jxnu.edu.cn/; 微电子学院: https://sme.jxnu.edu.cn/; 化学与材料学院: https://chem.jxnu.edu.cn/; 化学工程学院: https://hgxy.jxnu.edu.cn/; 地理与环境学院: https://dlxy.jxnu.edu.cn/; 人工智能学院: https://sai.jxnu.edu.cn/; 科学技术学院: https://www.jxsdky.edu.cn/index.htm,软科top150新增目标高校 + 国际处网址 + 理工学院网址9条
河北大学,软科top150,河北省,保定市,130,http://oice.hbu.edu.cn/,7,网络空间安全与计算机学院: http://cs.hbu.cn/; 物理科学与技术学院: http://wlxy.hbu.edu.cn/; 化学与材料科学学院: http://chem.hbu.cn/; 生命科学学院: https://smkxxy.hbu.cn/; 电子信息工程学院: http://ceie.hbu.cn/; 建筑工程学院: http://cea.hbu.edu.cn/; 质量技术监督学院: http://zhijian.hbu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址7条
燕山大学,软科top150,河北省,秦皇岛市,109,http://gjhzc.ysu.edu.cn/,10,机械工程学院: http://mec.ysu.edu.cn/; 材料科学与工程学院: http://mse.ysu.edu.cn/; 电气工程学院: http://iee.ysu.edu.cn/; 信息科学与工程学院: https://ise.ysu.edu.cn; 建筑工程与力学学院: http://jgxy.ysu.edu.cn/; 理学院: http://lxy.ysu.edu.cn/; 环境与化学工程学院: http://ece.ysu.edu.cn/; 车辆与能源学院: http://vec.ysu.edu.cn/; 西里西亚智能科学与工程学院: http://scise.ysu.edu.cn; 康养产业技术研究院: https://cec.ysu.edu.cn/yjy/,软科top150新增目标高校 + 国际处网址 + 理工学院网址10条
河南农业大学,软科top150,河南省,郑州市,145,https://gjc.henau.edu.cn/,7,机电工程学院: http://hnndjdxy.henau.edu.cn/; 人工智能学院: http://xinxi.henau.edu.cn/; 软件学院: https://rjxy.henau.edu.cn/; 生命科学学院: http://sk.henau.edu.cn/; 食品科学技术学院: http://spxy.henau.edu.cn/; 资源与环境学院: http://zihuan.henau.edu.cn/; 化学与材料学院: https://hxyclxy.henau.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址7条
杭州师范大学,软科top150,浙江省,杭州市,116,https://international.hznu.edu.cn/#/login,5,数学学院: http://sxxy.hznu.edu.cn/; 物理学院: http://wlxy.hznu.edu.cn; 材料与化学化工学院: http://ch.hznu.edu.cn/; 生命与环境科学学院: http://cls.hznu.edu.cn/; 信息科学与技术学院: http://hise.hznu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址5条
杭州电子科技大学,软科top150,浙江省,杭州市,99,http://foreign.hdu.edu.cn/,10,机械工程学院: http://www.hdu.edu.cn/13312/list.htm; 电子信息学院: http://www.hdu.edu.cn/13317/list.htm; 通信工程学院: http://www.hdu.edu.cn/13318/list.htm; 材料与环境工程学院: http://www.hdu.edu.cn/13322/list.htm; 集成电路科学与工程学院: https://ic.hdu.edu.cn/; 理学院: http://www.hdu.edu.cn/13323/list.htm; 杭州电子科技大学圣光机联合学院: http://www.hdu.edu.cn/13335/list.htm; 杭州电子科技大学信息工程学院: https://www.hziee.edu.cn/; 浙江省信息化发展研究院: http://www.hdu.edu.cn/13681/list.htm; 微电子研究院: http://www.hdu.edu.cn/13670/list.htm,软科top150新增目标高校 + 国际处网址 + 理工学院网址10条
浙江农林大学,软科top150,浙江省,杭州市,149,http://wsc.zafu.edu.cn/,4,化学与材料工程学院: https://gc.zafu.edu.cn/; 风景园林与建筑学院: https://laas.zafu.edu.cn/; 人工智能学院: https://ie.zafu.edu.cn/; 茶学与茶文化学院: https://tsc.zafu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址4条
浙江工业大学,软科top150,浙江省,杭州市,68,https://www.zjut.edu.cn/4510/list.htm,1,湖州德清莫干山国际地理信息学院: https://www.zjut.edu.cn/2026/0723/c4662a338772/page.htm,软科top150新增目标高校 + 国际处网址 + 理工学院网址1条
浙江师范大学,软科top150,浙江省,金华市,91,http://iso.zjnu.edu.cn,5,心理学院: http://xlxy.zjnu.edu.cn; 数学学院: http://sxxy.zjnu.edu.cn/; 计算机学院: http://cs.zjnu.edu.cn; 生命科学学院: http://smxy.zjnu.edu.cn; 杭州自动化学院: https://autoai.zjnu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址5条
浙江理工大学,软科top150,浙江省,杭州市,112,http://gradadmission.zstu.edu.cn/gatzs.htm,7,理学院: http://sci.zstu.edu.cn/; 材料科学与工程学院: http://mse.zstu.edu.cn/; 机械工程学院: http://mechanical.zstu.edu.cn; 建筑工程学院: http://jiangong.zstu.edu.cn/; 化学与化工学院: https://scce.zstu.edu.cn/; 国际时装技术学院: http://gjy.zstu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址6条
温州大学,软科top150,浙江省,温州市,129,https://iro.wzu.edu.cn/,9,数理学院: http://slxy.wzu.edu.cn/; 化学与材料工程学院: http://chem.wzu.edu.cn/; 生命与环境科学学院: http://shxy.wzu.edu.cn/; 机电工程学院: http://jdxy.wzu.edu.cn/; 电气与电子工程学院: http://eee.wzu.edu.cn/; 计算机与人工智能学院: http://ai.wzu.edu.cn/; 建筑工程学院: http://cace.wzu.edu.cn/; 新材料与产业技术研究院: https://inmit.wzu.edu.cn/; 激光与光电智能制造研究院: https://im.wzu.edu.cn,软科top150新增目标高校 + 国际处网址 + 理工学院网址9条
武汉科技大学,软科top150,湖北省,武汉市,123,,12,材料科学与工程学院: https://cl.wust.edu.cn/; 电子信息学院: https://dx.wust.edu.cn/; 化学与化工学院: https://hxyhg.wust.edu.cn/; 计算机科学与技术学院: https://jsjkx.wust.edu.cn/; 机械工程学院: https://jxzdh.wust.edu.cn/; 数学与系统科学学院: https://maths.wust.edu.cn/; 物理与力学学院: https://wlylx.wust.edu.cn/; 汽车与交通工程学院: https://qcyjt.wust.edu.cn/; 人工智能与自动化学院: https://aia.wust.edu.cn/; 生命科学与健康学院: https://smkx.wust.edu.cn/; 冶金与能源学院: https://yn.wust.edu.cn/; 资源与环境工程学院: https://cree.wust.edu.cn/,软科top150新增目标高校 + 理工学院网址12条
湖北大学,软科top150,湖北省,武汉市,121,https://io.hubu.edu.cn/,13,生命科学学部: https://bio.hubu.edu.cn/; 数学与统计学学院: http://mci.hubu.edu.cn/; 物理学院: http://phys.hubu.edu.cn/; 化学化工学院: http://chemmat.hubu.edu.cn/; 生命科学学院: http://sky.hubu.edu.cn/; 资源环境学院: http://zhxy.hubu.edu.cn/; 材料科学与工程学院: http://matsci.hubu.edu.cn/; 新能源与电气工程学院: https://ne.hubu.edu.cn/; 集成电路学院: http://sme.hubu.edu.cn/; 人工智能学院: http://ai.hubu.edu.cn/; 智能制造学院: http://znzz.hubu.edu.cn/index.htm; 计算机学院: http://cs.hubu.edu.cn; 健康科学与工程学院: http://health.hubu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址13条
长沙理工大学,软科top150,湖南省,长沙市,135,,15,交通学院: https://www.csust.edu.cn/jtysgcxy/; 物理与电子科学学院: https://www.csust.edu.cn/wdxy/index.htm; 土木与环境工程学院: https://www.csust.edu.cn/tmjz/; 电气与信息工程学院: https://www.csust.edu.cn/dq/index.htm; 材料科学与工程学院: https://www.csust.edu.cn/clgcxy/index.htm; 水利与海洋工程学院: https://www.csust.edu.cn/slgc/index.htm; 机械与运载工程学院: https://www.csust.edu.cn/qjxy/index.htm; 能源与动力工程学院: https://www.csust.edu.cn/ndxy/index.htm; 计算机学院: https://www.csust.edu.cn/jtxy/index.htm; 航空工程学院: https://www.csust.edu.cn/hkgcxy/index.htm; 人工智能学院: https://www.csust.edu.cn/rgznxy/; 建筑学院: https://www.csust.edu.cn/jzxy/; 卓越工程师学院: https://www.csust.edu.cn/cxcyjyxy/index.htm; 食品与生物工程学院: https://www.csust.edu.cn/spyswgcxy/index.htm; 数学与统计学院: https://www.csust.edu.cn/stxy/index.htm,软科top150新增目标高校 + 理工学院网址15条
华侨大学,软科top150,福建省,泉州市,139,https://www.hqu.edu.cn/index/gatq.htm,12,/ 国家安全研究院: https://inss.hqu.edu.cn/; 数学科学学院: http://maths.hqu.edu.cn/; 机电及自动化学院: http://med.hqu.edu.cn/; 材料科学与工程学院: http://clxy.hqu.edu.cn/; 信息科学与工程学院: http://eee.hqu.edu.cn/; 计算机科学与技术学院: http://cst.hqu.edu.cn/; 土木工程学院: http://civil.hqu.edu.cn/; 化工学院: http://hgxy.hqu.edu.cn/; 建筑学院: http://jzxy.hqu.edu.cn/; 制造工程研究院: http://ime.hqu.edu.cn/; 发光材料与信息显示研究院: https://fgcl.hqu.edu.cn/; 先进碳转化技术研究院: https://aacct.hqu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址12条
福建农林大学,软科top150,福建省,福州市,122,,12,生命科学学院: http://skxy.fafu.edu.cn; 动物科学学院: http://dkxy.fafu.edu.cn/; 海洋学院: http://hyxy.fafu.edu.cn/; 资源与环境学院: http://zhxy.fafu.edu.cn/; 食品科学学院: http://spxy.fafu.edu.cn/; 材料工程学院: http://clxy.fafu.edu.cn/; 计算机与信息学院: http://xxxy.fafu.edu.cn/; 机电工程学院: http://jdxy.fafu.edu.cn/; 交通与土木工程学院: http://jtxy.fafu.edu.cn/; 人工智能学院: http://fafucai.fafu.edu.cn; 海洋研究院: http://ocean.fafu.edu.cn/; 农林人工智能研究院: https://faai.fafu.edu.cn/,软科top150新增目标高校 + 理工学院网址12条
福建师范大学,软科top150,福建省,福州市,90,http://oice.fjnu.edu.cn/,6,心理学院: http://psy.fjnu.edu.cn/; 数学与统计学院: http://math.fjnu.edu.cn/; 物理与能源学院: http://cpe.fjnu.edu.cn; 光电与信息工程学院: http://paee.fjnu.edu.cn; 化学与材料学院: http://chem.fjnu.edu.cn; 生命科学学院: http://life.fjnu.edu.cn,软科top150新增目标高校 + 国际处网址 + 理工学院网址6条
重庆邮电大学,软科top150,重庆市,重庆市,147,https://www.cqupt.edu.cn/hzjl.htm#gjhzjl,5,通信与信息工程学院: https://scie.cqupt.edu.cn/; 自动化学院/工业互联网学院: https://ac.cqupt.edu.cn/; 电子科学与工程学院: https://ee.cqupt.edu.cn/; 生命健康信息科学与工程学院: https://swxy.cqupt.edu.cn/; 数学与统计学院: https://math.cqupt.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址5条
西安建筑科技大学,软科top150,陕西省,西安市,118,https://gjc.xauat.edu.cn/,14,建筑学院: https://www.xauat.edu.cn/zzjg2/jxjg/jzxy.htm; 土木工程学院: https://www.xauat.edu.cn/zzjg2/jxjg/tmgcxy.htm; 环境与市政工程学院: https://www.xauat.edu.cn/zzjg2/jxjg/hjyszgcxy.htm; 建筑设备科学与工程学院: https://www.xauat.edu.cn/zzjg2/jxjg/jzsbkxygcxy.htm; 材料科学与工程学院: https://www.xauat.edu.cn/zzjg2/jxjg/clkxygcxy.htm; 机电工程学院: https://www.xauat.edu.cn/zzjg2/jxjg/jdgcxy.htm; 冶金工程学院: https://www.xauat.edu.cn/zzjg2/jxjg/yjgcxy.htm; 人工智能与机器人学院: https://www.xauat.edu.cn/zzjg2/jxjg/rgznyjqrxy1.htm; 计算机与信息工程学院: https://www.xauat.edu.cn/zzjg2/jxjg/jsjyxxgcxy.htm; 理学院: https://www.xauat.edu.cn/zzjg2/jxjg/lxy.htm; 资源工程学院: https://www.xauat.edu.cn/zzjg2/jxjg/zygcxy.htm; 化学与化工学院: https://www.xauat.edu.cn/zzjg2/jxjg/hxyhgxy.htm; 城市发展与现代交通学院: https://www.xauat.edu.cn/zzjg2/jxjg/csfzyxdjtxy.htm; 未来技术学院: https://www.xauat.edu.cn/zzjg2/jxjg/wljsxy.htm,软科top150新增目标高校 + 国际处网址 + 理工学院网址14条
西安理工大学,软科top150,陕西省,西安市,111,http://oice.xaut.edu.cn/lhlxs.htm,11,材料科学与工程学院: https://clxy.xaut.edu.cn/; 机械工程学院: https://jyxy.xaut.edu.cn/; 水利水电学院: https://whe.xaut.edu.cn/; 土木建筑工程学院: https://tmjz.xaut.edu.cn/; 电气工程学院: https://dqxy.xaut.edu.cn/; 数学学院: https://math.xaut.edu.cn/; 生态环境与化工学院: https://hhxy.xaut.edu.cn/; 光电科学与智能仪器学院: https://gyxy.xaut.edu.cn/; 卓越工程师学院: https://zgy.xaut.edu.cn/; 人工智能交叉现代产业学院: https://jwc.xaut.edu.cn/bksy/rgznjcxdcyxy/bmjj.htm; 高科学院: https://www.xthtc.com/,软科top150新增目标高校 + 国际处网址 + 理工学院网址11条
陕西科技大学,软科top150,陕西省,西安市,132,http://oice.sust.edu.cn/,10,轻工科学与工程学院: https://qg.sust.edu.cn/; 材料科学与工程学院: http://cl.sust.edu.cn/; 环境科学与工程学院: http://hj.sust.edu.cn; 食品科学与工程学院: http://sm.sust.edu.cn/; 机电工程学院: http://jd.sust.edu.cn/; 电气与控制工程学院: http://dianqi.sust.edu.cn/; 电子信息与人工智能学院: http://dianzhi.www.sust.edu.cn/; 化学与化工学院: https://hg.sust.edu.cn/; 数学与数据科学学院: http://sx.sust.edu.cn/; 物理与信息科学学院: http://wl.sust.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址10条
